Time,ECG_Lead1
0,0.0012031071428571596
1,0.0013983214285714395
2,0.0017544642857142126
3,0.001994464285714262
4,0.0019359642857142692
5,0.001665214285714356
6,0.0014882142857143574
7,0.0017088214285714846
8,0.0021833571428570868
9,0.002696892857142887
10,0.002762035714285714
11,0.0025191428571428023
12,0.0021298928571428836
13,0.0018350357142857883
14,0.0017314285714286472
15,0.0018592499999999948
16,0.0018655714285714506
17,0.0016158214285715035
18,0.0011651785714285776
19,0.0009286071428571218
20,0.001135928571428581
21,0.0015531428571428306
22,0.001893642857142806
23,0.0018408214285713597
24,0.0015411428571428282
25,0.001229142857142916
26,0.0012939642857142124
27,0.0016096071428570724
28,0.0019887857142857155
29,0.002004321428571489
30,0.0017543571428571881
31,0.0013783928571427851
32,0.0012553928571428737
33,0.0014821071428571032
34,0.0019040357142857645
35,0.0021217500000000303
36,0.001961678571428647
37,0.0015957857142856722
38,0.001301571428571486
39,0.0014223214285714444
40,0.0017962499999999437
41,0.002144035714285662
42,0.002090142857142904
43,0.001777178571428552
44,0.001422535714285646
45,0.0014051785714286273
46,0.0016686428571427976
47,0.002053821428571366
48,0.0021735000000000122
49,0.0019743214285714065
50,0.0015983571428571557
51,0.0014106428571428202
52,0.0015817500000000705
53,0.0019281428571427941
54,0.002179285714285736
55,0.0020977500000000254
56,0.0018071785714286344
57,0.0015052499999999977
58,0.0015495000000000354
59,0.0018440357142857522
60,0.0022150714285713896
61,0.0022448571428571183
62,0.0020050714285714225
63,0.001638857142857069
64,0.0015461785714286184
65,0.0017583214285713617
66,0.0021327857142857455
67,0.0023320714285713757
68,0.0021729642857142802
69,0.0017975357142857617
70,0.001519499999999953
71,0.0016373571428572019
72,0.001955892857142924
73,0.002287607142857137
74,0.0022489285714286213
75,0.00195653571428568
76,0.001584857142857134
77,0.0015336428571428838
78,0.00178167857142861
79,0.00213235714285719
80,0.002216142857142854
81,0.0019967142857142154
82,0.001619464285714299
83,0.001409678571428533
84,0.001584857142857134
85,0.0019497857142856693
86,0.0021455357142856814
87,0.0019678928571429262
88,0.0016278214285713538
89,0.0012949285714284997
90,0.0013578214285713739
91,0.0016597500000000106
92,0.0019788214285714643
93,0.0019582500000000533
94,0.0016990714285714352
95,0.0013336071428571676
96,0.001232892857142888
97,0.0014500714285714217
98,0.0018171428571428854
99,0.001982357142857083
100,0.0017867142857142478
101,0.001414178571428591
102,0.001186607142857099
103,0.0013112142857143589
104,0.001615392857142796
105,0.001910357142857068
106,0.00187585714285708
107,0.0016024285714285062
108,0.001246928571428642
109,0.0012420000000000289
